# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = bernoulli_model
# start_datetime = 2024-07-23 00:29:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = bernoulli.data.json
# init = 2 (Default)
# random
#   seed = 77866
# output
#   file = /home/rahul/Academics/prob_prog/stan/bernoulli/outputs/bernoulli-20240722202941_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=bernoulli.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.971993
# Diagonal elements of inverse mass matrix:
# 0.191317
-14.8839,1,0.971993,2,3,0,15.5742,0.406209
-14.9016,0.907216,0.971993,2,3,0,15.4895,0.389317
-15.6419,0.847603,0.971993,1,3,0,15.7748,0.286253
-15.6419,0.917703,0.971993,1,1,0,16.0587,0.286253
-15.1515,1,0.971993,1,1,0,15.5374,0.334275
-14.9826,0.978962,0.971993,2,3,0,15.3578,0.363083
-14.9606,0.97923,0.971993,1,3,0,15.1794,0.450593
-15.0328,0.982353,0.971993,1,1,0,15.0395,0.466984
-14.8855,0.995803,0.971993,1,3,0,15.0579,0.40253
-15.2783,0.944811,0.971993,2,3,0,15.3444,0.503568
-15.0225,0.9405,0.971993,1,3,0,15.7262,0.354777
-15.8081,0.874944,0.971993,1,3,0,15.8395,0.274416
-15.8081,0.7671,0.971993,1,1,0,16.9717,0.274416
-16.1099,0.943127,0.971993,1,1,0,16.2312,0.255864
-15.1227,0.991371,0.971993,1,3,0,15.9217,0.338299
-14.8905,0.996836,0.971993,2,3,0,15.1444,0.396776
-15.1447,0.945702,0.971993,1,3,0,15.1838,0.335207
-14.8867,0.992683,0.971993,2,3,0,15.1964,0.417351
-14.8853,0.990141,0.971993,2,3,0,14.9502,0.402883
-14.9564,0.813126,0.971993,2,3,0,16.1796,0.369554
-14.8934,0.994143,0.971993,1,3,0,15.0016,0.423852
-15.2644,0.921418,0.971993,1,3,0,15.3111,0.501874
-16.2383,0.786016,0.971993,1,1,0,16.2391,0.583728
-16.3531,0.972702,0.971993,1,1,0,16.6581,0.590829
-15.4521,1,0.971993,1,1,0,16.1512,0.522547
-15.8733,0.901197,0.971993,1,1,0,15.9371,0.558674
-17.2494,0.718687,0.971993,1,1,0,17.2924,0.637778
-15.7498,1,0.971993,1,1,0,16.9081,0.549096
-14.9519,1,0.971993,2,3,0,15.595,0.370783
-15.0121,0.964145,0.971993,1,3,0,15.2183,0.4628
-14.9565,1,0.971993,2,3,0,15.0062,0.449469
-15.0372,0.953821,0.971993,1,3,0,15.2761,0.352029
-15.0708,0.992438,0.971993,1,1,0,15.0982,0.346241
-14.9557,0.975063,0.971993,1,3,0,15.2984,0.449223
-14.9079,1,0.971993,1,1,0,14.9443,0.43233
-14.9793,0.90195,0.971993,2,3,0,15.5457,0.363843
-15.029,0.988696,0.971993,1,1,0,15.0409,0.353539
-14.9061,0.987749,0.971993,1,3,0,15.1279,0.431461
-14.8914,1,0.971993,1,1,0,14.9027,0.422227
-14.9279,0.993576,0.971993,1,3,0,14.9283,0.440525
-15.0293,0.975376,0.971993,1,1,0,15.0296,0.466296
-15.6823,0.665901,0.971993,2,3,0,17.4345,0.283245
-15.9843,0.98067,0.971993,2,3,0,16.0832,0.263199
-15.9843,0.804005,0.971993,1,1,0,16.988,0.263199
-14.9099,0.990191,0.971993,1,3,0,15.9371,0.385203
-14.9117,0.992447,0.971993,1,3,0,14.9761,0.434074
-15.096,0.937917,0.971993,1,3,0,15.276,0.34226
-15.0122,0.96398,0.971993,1,3,0,15.449,0.462806
-15.0806,0.933858,0.971993,2,7,0,15.45,0.344659
-15.4708,0.917977,0.971993,1,1,0,15.4712,0.300154
-15.1387,1,0.971993,1,1,0,15.4059,0.336028
-16.6462,0.612924,0.971993,1,3,0,18.095,0.60765
-15.5369,1,0.971993,1,1,0,16.3928,0.530721
-15.1854,1,0.971993,1,1,0,15.4697,0.491631
-15.2729,0.978481,0.971993,1,1,0,15.3282,0.502911
-15.2623,0.881694,0.971993,1,3,0,16.2138,0.320693
-15.0614,1,0.971993,1,1,0,15.2257,0.347802
-15.4568,0.916569,0.971993,1,1,0,15.4568,0.301387
-14.9073,0.974526,0.971993,1,3,0,15.6598,0.432052
-15.0266,0.978863,0.971993,1,3,0,15.0281,0.46576
-15.0979,0.937429,0.971993,1,3,0,15.5056,0.341967
-15.3245,0.983788,0.971993,2,3,0,15.3352,0.314017
-15.0359,1,0.971993,2,3,0,15.2611,0.35226
-15.0007,0.687253,0.971993,2,3,0,17.7823,0.359126
-15.1239,0.990835,0.971993,2,3,0,15.1304,0.33812
-15.0541,1,0.971993,1,1,0,15.132,0.349034
-15.464,0.959556,0.971993,2,7,0,15.4669,0.523729
-15.412,1,0.971993,2,3,0,15.5694,0.518456
-15.1171,1,0.971993,1,1,0,15.3523,0.481632
-15.0923,1,0.971993,2,3,0,15.1565,0.477654
-15.0037,0.957546,0.971993,1,3,0,15.4284,0.358511
-16.0001,0.832747,0.971993,1,3,0,16.0714,0.262246
-15.6161,1,0.971993,1,1,0,15.996,0.28822
-15.8015,0.963383,0.971993,1,1,0,15.913,0.274864
-14.8856,1,0.971993,2,3,0,15.7342,0.402422
-14.9112,0.872485,0.971993,2,3,0,15.7405,0.384629
-15.2336,0.938354,0.971993,1,3,0,15.2593,0.323974
-14.9207,0.988665,0.971993,2,3,0,15.328,0.380768
-14.8839,0.903362,0.971993,2,3,0,15.5792,0.411729
-14.8846,0.766384,0.971993,2,3,0,16.6262,0.413915
-14.8841,0.995364,0.971993,2,3,0,14.9142,0.405825
-14.8853,0.958901,0.971993,2,3,0,15.1506,0.415221
-14.9076,0.931615,0.971993,2,3,0,15.3213,0.386265
-15.9753,0.871124,0.971993,2,3,0,16.0965,0.566112
-14.8972,1,0.971993,2,3,0,15.8654,0.391861
-15.5704,0.914805,0.971993,2,3,0,15.65,0.533797
-15.1368,1,0.971993,2,3,0,15.4699,0.484651
-15.0114,0.952466,0.971993,1,3,0,15.5077,0.356937
-15.0464,0.992078,0.971993,1,1,0,15.0679,0.35038
-14.928,0.988417,0.971993,2,3,0,15.1509,0.378116
-14.9064,1,0.971993,1,1,0,14.9246,0.38683
-14.8837,0.999509,0.971993,1,3,0,14.9096,0.410886
-14.9269,0.989858,0.971993,1,3,0,14.9362,0.440145
-15.3314,0.873065,0.971993,1,3,0,15.6774,0.313313
-14.9592,1,0.971993,2,3,0,15.2433,0.450212
-15.0036,0.996375,0.971993,2,3,0,15.0135,0.460966
-15.9911,0.701569,0.971993,1,3,0,16.9351,0.262791
-16.2132,0.958728,0.971993,1,1,0,16.3858,0.250177
-15.0746,0.989195,0.971993,1,3,0,16.023,0.345628
-15.2723,0.957145,0.971993,1,1,0,15.2825,0.319577
-15.2389,1,0.971993,2,3,0,15.3365,0.323362
-15.7653,0.894847,0.971993,1,1,0,15.7704,0.277331
-15.7653,0.824102,0.971993,1,1,0,16.6114,0.277331
-16.3041,0.9013,0.971993,1,1,0,16.3748,0.245404
-16.3425,0.992971,0.971993,1,1,0,16.6236,0.243445
-15.6855,1,0.971993,2,3,0,16.2581,0.283006
-15.2911,1,0.971993,1,1,0,15.6232,0.317534
-15.0901,0.941766,0.971993,1,3,0,15.8925,0.477275
-15.0213,1,0.971993,1,1,0,15.093,0.46469
-15.8333,0.861461,0.971993,1,3,0,15.8483,0.555644
-15.212,0.863443,0.971993,1,3,0,16.9089,0.326551
-15.2858,0.901547,0.971993,1,3,0,16.1288,0.504458
-14.8946,1,0.971993,2,3,0,15.2312,0.393567
-15.6693,0.836085,0.971993,1,3,0,15.8327,0.284203
-15.7003,0.993757,0.971993,1,1,0,15.8618,0.281931
-17.0675,0.7718,0.971993,1,1,0,17.0679,0.211629
-14.9141,1,0.971993,2,3,0,16.6625,0.435154
-15.6097,0.872715,0.971993,2,3,0,15.9542,0.537313
-14.9897,1,0.971993,2,3,0,15.4701,0.3615
-16.0007,0.826424,0.971993,1,3,0,16.0841,0.262209
-16.6453,0.887454,0.971993,1,1,0,16.7338,0.229085
-15.6043,1,0.971993,1,1,0,16.4484,0.289134
-15.1846,1,0.971993,2,3,0,15.5206,0.32994
-15.6682,0.901823,0.971993,1,1,0,15.6713,0.284279
-14.8994,0.993808,0.971993,1,3,0,15.6336,0.390537
-15.1721,0.967912,0.971993,2,3,0,15.1888,0.489781
