# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = bernoulli_model
# start_datetime = 2024-07-23 00:29:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = bernoulli.data.json
# init = 2 (Default)
# random
#   seed = 77866
# output
#   file = /home/rahul/Academics/prob_prog/stan/bernoulli/outputs/bernoulli-20240722202941_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=bernoulli.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.937204
# Diagonal elements of inverse mass matrix:
# 0.206678
-15.0709,0.970199,0.937204,1,1,0,15.071,0.346221
-14.9624,0.934934,0.937204,2,3,0,15.6024,0.451068
-15.0197,0.985907,0.937204,1,1,0,15.0286,0.464363
-15.0197,0.402193,0.937204,1,3,0,18.5748,0.464363
-14.9913,0.791041,0.937204,2,3,0,16.5801,0.361142
-14.8867,0.999489,0.937204,1,3,0,14.9808,0.40079
-14.8841,0.985412,0.937204,2,3,0,14.9792,0.412467
-14.8837,0.983233,0.937204,2,3,0,14.9898,0.407647
-15.4675,0.864465,0.937204,1,3,0,15.6268,0.524075
-15.4883,0.994837,0.937204,1,1,0,15.6284,0.526107
-17.1644,0.663227,0.937204,1,1,0,17.1645,0.633836
-16.242,1,0.937204,2,3,0,17.1022,0.583962
-17.2866,0.780088,0.937204,1,1,0,17.4273,0.639479
-15.2261,0.86783,0.937204,2,3,0,18.7832,0.32486
-16.1241,0.797476,0.937204,2,3,0,17.4942,0.576331
-14.8963,0.972108,0.937204,1,3,0,16.2908,0.392438
-15.2444,0.906521,0.937204,1,3,0,15.4225,0.499388
-15.4702,0.945222,0.937204,1,1,0,15.5169,0.524338
-15.4654,1,0.937204,2,7,0,15.4655,0.30063
-15.4079,1,0.937204,1,1,0,15.5547,0.305841
-15.1004,1,0.937204,1,1,0,15.3453,0.341586
-14.9137,0.861351,0.937204,2,3,0,16.165,0.434969
-15.1799,0.949183,0.937204,1,3,0,15.1905,0.490882
-14.9998,1,0.937204,2,3,0,15.1395,0.460135
-15.2168,0.982479,0.937204,2,3,0,15.2193,0.49585
-15.5373,0.923166,0.937204,1,1,0,15.5667,0.53076
-15.8906,0.916248,0.937204,1,1,0,15.9833,0.559959
-15.8801,1,0.937204,2,7,0,15.8806,0.269688
-16.8911,0.621052,0.937204,1,3,0,20.0194,0.620516
-15.6456,1,0.937204,1,1,0,16.6106,0.540437
-15.6456,0.58269,0.937204,2,7,0,18.6934,0.540437
-15.5397,1,0.937204,1,1,0,15.7579,0.530983
-17.2415,0.659822,0.937204,1,1,0,17.2422,0.637415
-15.0605,0.878195,0.937204,1,3,0,18.2146,0.347955
-15.3565,0.936375,0.937204,1,1,0,15.3586,0.31079
-16.0898,0.859917,0.937204,1,1,0,16.0939,0.257002
-16.8148,0.875783,0.937204,1,1,0,16.9043,0.221761
-15.0013,0.979677,0.937204,1,3,0,16.6589,0.359012
-15.0103,0.999307,0.937204,2,3,0,15.0355,0.357155
-14.977,1,0.937204,1,1,0,15.0171,0.364377
-14.977,0.705831,0.937204,1,3,0,16.647,0.364377
-15.1396,0.963582,0.937204,1,1,0,15.1408,0.335914
-15.1977,0.820724,0.937204,2,3,0,16.8236,0.493305
-15.4346,0.879972,0.937204,2,3,0,16.2767,0.520785
-16.6682,0.737913,0.937204,1,1,0,16.6725,0.608844
-15.1865,0.844943,0.937204,1,3,0,17.9049,0.3297
-15.5777,0.827527,0.937204,1,3,0,16.5602,0.534461
-16.7977,0.741711,0.937204,1,1,0,16.815,0.615721
-15.4525,1,0.937204,2,3,0,16.4695,0.522583
-15.1969,1,0.937204,2,3,0,15.4215,0.4932
-15.4441,0.940173,0.937204,1,1,0,15.4779,0.521743
-14.9118,0.971346,0.937204,1,3,0,15.6247,0.384346
-14.9118,0.864785,0.937204,1,3,0,15.5271,0.384346
-15.2666,0.931618,0.937204,1,3,0,15.2965,0.320216
-15.7228,0.969358,0.937204,2,3,0,15.7351,0.280318
-16.2823,0.89672,0.937204,1,1,0,16.3446,0.246528
-16.7141,0.924993,0.937204,1,1,0,16.889,0.226054
-16.4503,1,0.937204,1,1,0,16.9114,0.238124
-16.4914,0.993819,0.937204,2,7,0,16.4922,0.598979
-16.2501,1,0.937204,2,3,0,16.7137,0.584474
-16.2501,0.686102,0.937204,1,1,0,17.5525,0.584474
-14.9133,1,0.937204,2,3,0,16.0848,0.3837
-15.9476,0.876641,0.937204,2,3,0,16.056,0.564134
-14.9118,0.973161,0.937204,2,3,0,16.1367,0.434125
-15.0016,0.88151,0.937204,2,3,0,15.6847,0.358941
-15.1588,0.964967,0.937204,1,1,0,15.1628,0.333294
-14.9831,1,0.937204,1,1,0,15.12,0.362971
-15.5857,0.945242,0.937204,2,3,0,15.5933,0.535175
-14.8997,0.998217,0.937204,1,3,0,15.5047,0.428024
-14.894,0.997221,0.937204,2,3,0,14.9243,0.424286
-14.906,0.999023,0.937204,2,3,0,14.9067,0.43141
-15.2253,0.960085,0.937204,2,3,0,15.2355,0.32495
-15.5266,0.842408,0.937204,1,3,0,16.5492,0.529754
-14.9124,0.977153,0.937204,2,3,0,15.6908,0.434409
-15.5418,0.919078,0.937204,2,3,0,15.5677,0.294129
-15.3723,1,0.937204,2,3,0,15.5748,0.309233
-16.8367,0.875013,0.937204,2,7,0,16.8383,0.617738
-19.2271,0.584334,0.937204,1,1,0,19.3171,0.71162
-16.7277,1,0.937204,1,1,0,18.73,0.612037
-15.6366,1,0.937204,2,3,0,16.4931,0.539661
-15.1388,0.922557,0.937204,2,3,0,16.3577,0.484961
-14.9754,0.961369,0.937204,1,3,0,15.4295,0.364771
-15.0091,0.992269,0.937204,1,1,0,15.0231,0.357414
-14.9122,0.999818,0.937204,2,7,0,14.9858,0.434298
-15.3821,0.940564,0.937204,2,3,0,15.3981,0.308289
-15.3066,1,0.937204,2,3,0,15.4417,0.315884
-14.9422,0.834932,0.937204,2,3,0,16.6929,0.445265
-14.9338,0.920002,0.937204,2,3,0,15.4982,0.37619
-14.9062,1,0.937204,1,1,0,14.9284,0.386922
-14.8881,0.997736,0.937204,1,3,0,14.9238,0.419103
-14.9073,0.99812,0.937204,2,3,0,14.9073,0.386419
-14.9126,0.929859,0.937204,2,3,0,15.3979,0.434508
-16.4836,0.619464,0.937204,1,3,0,17.3589,0.236529
-15.0174,0.984894,0.937204,1,3,0,16.3078,0.355766
-14.9734,0.96726,0.937204,2,7,0,15.2544,0.453923
-15.1736,0.951482,0.937204,1,1,0,15.1744,0.489994
-15.4423,0.97838,0.937204,2,3,0,15.4689,0.521564
-15.2895,1,0.937204,2,3,0,15.4729,0.504906
-14.93,1,0.937204,2,3,0,15.2117,0.377439
-14.8889,0.920278,0.937204,2,3,0,15.4729,0.419945
-14.9615,0.985003,0.937204,2,3,0,15.0038,0.450824
-14.9817,0.995005,0.937204,1,1,0,14.9963,0.455969
-15.0816,0.916762,0.937204,2,3,0,15.564,0.344495
-15.6052,0.816299,0.937204,1,3,0,16.3965,0.536912
-14.8884,1,0.937204,2,3,0,15.5503,0.39882
-14.9148,0.997359,0.937204,2,3,0,14.915,0.435446
-15.3539,0.913454,0.937204,1,3,0,15.383,0.512256
-16.4291,0.922136,0.937204,2,3,0,16.4325,0.595359
-15.0988,1,0.937204,1,3,0,16.125,0.478719
-16.4773,0.729592,0.937204,2,3,0,17.5783,0.598164
-16.7862,0.92903,0.937204,1,1,0,17.1052,0.615121
-16.1779,1,0.937204,1,1,0,16.833,0.579858
-20.8494,0.477,0.937204,2,3,0,24.3135,0.755863
-16.1039,1,0.937204,2,7,0,19.8049,0.574988
-15.5555,0.864478,0.937204,2,3,0,17.6689,0.532438
-16.1399,0.865673,0.937204,1,1,0,16.2052,0.577379
-15.0734,0.891149,0.937204,1,3,0,16.9397,0.34581
-14.9547,1,0.937204,1,1,0,15.0473,0.370019
-15.5531,0.828326,0.937204,1,3,0,16.0281,0.532213
-16.0277,0.889315,0.937204,1,1,0,16.1063,0.569792
-14.9009,1,0.937204,2,3,0,15.907,0.389662
-14.8837,0.915765,0.937204,2,3,0,15.4601,0.407553
-15.6326,0.829449,0.937204,1,3,0,15.8358,0.539312
-17.2236,0.678882,0.937204,1,1,0,17.2308,0.63659
-16.8468,1,0.937204,2,3,0,17.5247,0.618259
-15.5828,1,0.937204,2,3,0,16.5531,0.53492
-15.0682,1,0.937204,2,3,0,15.4546,0.473534
-14.9197,1,0.937204,1,3,0,15.0323,0.437435
-14.9799,0.921926,0.937204,2,3,0,15.4308,0.363717
-14.9915,0.997317,0.937204,1,1,0,15.0112,0.361097
-15.633,0.894233,0.937204,1,3,0,15.6583,0.286925
-16.9718,0.772705,0.937204,1,1,0,16.9718,0.215364
-16.1946,1,0.937204,1,1,0,16.9276,0.25118
-17.0708,0.854815,0.937204,1,1,0,17.1513,0.211503
-18.6157,0.787704,0.937204,1,1,0,18.6995,0.163593
-15.6403,0.964981,0.937204,1,3,0,18.1984,0.286372
-15.83,0.962531,0.937204,1,1,0,15.946,0.272956
-15.4639,1,0.937204,1,1,0,15.8058,0.300755
-15.7382,0.945062,0.937204,1,1,0,15.8041,0.279226
-15.7468,0.996966,0.937204,2,7,0,15.7502,0.548848
-15.9661,0.947407,0.937204,1,1,0,16.1313,0.565456
-14.8917,0.978407,0.937204,1,3,0,16.0908,0.395781
-14.8889,0.995492,0.937204,2,3,0,14.9247,0.41994
-15.0493,0.969822,0.937204,2,3,0,15.1217,0.470124
-15.1461,0.923726,0.937204,1,3,0,15.6274,0.335011
-14.8981,0.99408,0.937204,2,3,0,15.1906,0.391324
-15.207,0.915068,0.937204,1,3,0,15.3783,0.494563
-14.9998,1,0.937204,1,1,0,15.1584,0.460132
-15.2492,0.819584,0.937204,2,3,0,16.2359,0.32218
-14.993,1,0.937204,1,1,0,15.1912,0.360783
-15.9627,0.906353,0.937204,2,3,0,15.9918,0.565218
-14.8955,0.995706,0.937204,1,3,0,15.8728,0.425364
-14.893,0.989614,0.937204,2,3,0,14.9682,0.394737
-15.8172,0.868646,0.937204,2,3,0,16.0088,0.27381
-15.0609,0.968372,0.937204,2,3,0,16.1395,0.347885
-15.0005,1,0.937204,1,1,0,15.0617,0.359166
-15.0282,0.81969,0.937204,2,3,0,16.4762,0.466086
-15.095,0.983519,0.937204,1,1,0,15.1171,0.478096
-15.2213,0.901314,0.937204,1,3,0,15.8407,0.325428
-14.8881,0.998028,0.937204,1,3,0,15.2061,0.399164
-14.8857,0.932307,0.937204,2,3,0,15.3284,0.402317
-14.8857,0.44607,0.937204,1,3,0,18.1869,0.402317
-14.8872,0.966943,0.937204,2,3,0,15.1001,0.418067
-14.8872,0.78305,0.937204,1,3,0,15.9242,0.418067
-15.0338,0.980159,0.937204,2,3,0,15.0456,0.352645
-14.9554,1,0.937204,1,1,0,15.0198,0.369813
-15.0015,0.989385,0.937204,1,1,0,15.0093,0.358958
-15.0226,0.964226,0.937204,1,3,0,15.3189,0.464965
-15.0226,0.617694,0.937204,1,3,0,16.9171,0.464965
-14.9494,1,0.937204,1,1,0,15.0091,0.447425
-14.9852,0.96875,0.937204,2,3,0,15.1866,0.3625
-15.6216,0.893827,0.937204,1,3,0,15.6488,0.287795
