# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = bernoulli_model
# start_datetime = 2024-07-23 00:29:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = bernoulli.data.json
# init = 2 (Default)
# random
#   seed = 77866
# output
#   file = /home/rahul/Academics/prob_prog/stan/bernoulli/outputs/bernoulli-20240722202941_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=bernoulli.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.966049
# Diagonal elements of inverse mass matrix:
# 0.181522
-15.0419,0.970081,0.966049,1,3,0,15.0636,0.351184
-15.0419,0.891334,0.966049,1,3,0,15.833,0.351184
-14.9715,0.969406,0.966049,1,3,0,15.3216,0.453443
-14.8874,1,0.966049,2,3,0,14.9557,0.399965
-14.8906,0.997712,0.966049,2,7,0,14.9035,0.421561
-15.0448,0.865673,0.966049,2,3,0,15.8199,0.35066
-15.1086,0.968256,0.966049,2,3,0,15.3837,0.340354
-15.2538,0.950077,0.966049,2,3,0,15.639,0.321656
-16.8366,0.585344,0.966049,1,3,0,18.9059,0.617736
-14.9409,0.91653,0.966049,1,3,0,17.4923,0.373958
-14.9118,0.990555,0.966049,1,3,0,15.0342,0.434156
-14.9251,0.986693,0.966049,1,3,0,15.0129,0.37914
-14.9055,0.98943,0.966049,2,7,0,14.9958,0.431137
-15.2193,0.94072,0.966049,1,3,0,15.2486,0.496173
-15.6205,0.874867,0.966049,2,3,0,16.4423,0.538261
-16.5892,0.801188,0.966049,1,1,0,16.6148,0.604508
-15.5178,1,0.966049,1,1,0,16.3524,0.528925
-15.2208,0.878151,0.966049,2,3,0,16.8438,0.325488
-15.4106,0.962459,0.966049,1,1,0,15.4405,0.305594
-16.0924,0.878078,0.966049,1,1,0,16.0976,0.256858
-16.4668,0.937026,0.966049,1,1,0,16.6033,0.23733
-15.5036,1,0.966049,1,1,0,16.2881,0.297325
-15.6266,0.976548,0.966049,1,1,0,15.721,0.287413
-16.3718,0.872284,0.966049,1,1,0,16.3895,0.241974
-15.523,1,0.966049,2,3,0,16.2181,0.29569
-15.0689,0.922065,0.966049,1,3,0,16.2858,0.473657
-15.1596,0.993044,0.966049,2,3,0,15.1833,0.488001
-14.9041,0.991553,0.966049,2,3,0,15.2254,0.430457
-15.3265,0.948315,0.966049,2,3,0,15.3347,0.313813
-15.1624,1,0.966049,2,3,0,15.3172,0.332827
-15.4131,0.950302,0.966049,1,1,0,15.4263,0.305353
-15.4646,0.989934,0.966049,1,1,0,15.5601,0.300701
-15.2479,0.890267,0.966049,1,3,0,16.5894,0.499828
-15.0494,1,0.966049,1,1,0,15.2091,0.470143
-14.9551,0.967815,0.966049,1,3,0,15.2963,0.369909
-14.9551,0.799745,0.966049,1,3,0,16.0371,0.369909
