# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = bernoulli_model
# start_datetime = 2024-07-23 00:29:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = bernoulli.data.json
# init = 2 (Default)
# random
#   seed = 77866
# output
#   file = /home/rahul/Academics/prob_prog/stan/bernoulli/outputs/bernoulli-20240722202941_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=bernoulli.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.07526
# Diagonal elements of inverse mass matrix:
# 0.176501
-14.9549,0.995494,1.07526,2,3,0,14.9556,0.449
-14.9071,1,1.07526,2,3,0,14.9419,0.386506
-14.9645,0.984937,1.07526,1,1,0,14.9649,0.36744
-16.1457,0.792202,1.07526,2,3,0,16.7241,0.253861
-15.7937,1,1.07526,1,1,0,16.2072,0.275389
-17.1702,0.749276,1.07526,1,1,0,17.1863,0.207748
-15.9036,1,1.07526,2,3,0,16.942,0.26819
-14.9646,0.965569,1.07526,2,3,0,16.1778,0.367426
-15.1236,0.939484,1.07526,1,3,0,15.3571,0.482646
-15.1841,0.799376,1.07526,2,3,0,16.4364,0.330005
-14.9255,1,1.07526,1,3,0,15.1202,0.37899
-15.5444,0.914274,1.07526,2,3,0,15.6371,0.531419
-15.7012,0.957207,1.07526,1,1,0,15.8546,0.545128
-15.3669,1,1.07526,1,1,0,15.6863,0.513671
-15.6187,0.931946,1.07526,1,1,0,15.7086,0.538102
-18.2852,0.767803,1.07526,2,3,0,18.2853,0.680059
-16.3592,1,1.07526,1,1,0,17.9035,0.591194
-16.1788,1,1.07526,1,1,0,16.6317,0.579916
-16.5046,0.971766,1.07526,2,3,0,16.798,0.599738
-18.0981,0.659999,1.07526,1,1,0,18.283,0.6731
-17.165,1,1.07526,1,1,0,18.2912,0.63386
-14.9061,1,1.07526,1,3,0,16.7817,0.431455
-14.9818,0.979278,1.07526,1,1,0,14.9819,0.455998
-15.1053,0.941562,1.07526,1,3,0,15.3719,0.340847
-15.3823,0.977943,1.07526,2,3,0,15.397,0.308271
-14.8944,0.986752,1.07526,2,3,0,15.4661,0.393746
-17.7731,0.640043,1.07526,2,3,0,18.3077,0.18725
-15.7677,0.837404,1.07526,1,3,0,20.2548,0.55052
-15.5222,1,1.07526,1,1,0,15.8313,0.529344
-15.0773,1,1.07526,1,1,0,15.4043,0.475124
-15.6324,0.855925,1.07526,1,1,0,15.6354,0.539291
-15.8303,0.757619,1.07526,1,3,0,17.5249,0.272935
-15.3989,0.887521,1.07526,1,3,0,16.9896,0.517095
-16.6863,0.892186,1.07526,2,3,0,16.6992,0.609825
-15.7285,1,1.07526,1,1,0,16.516,0.547365
-15.2883,1,1.07526,1,1,0,15.6529,0.504755
-15.3597,0.825318,1.07526,2,3,0,16.547,0.310469
-14.9645,1,1.07526,2,3,0,15.263,0.451621
-14.9856,0.810535,1.07526,2,3,0,16.1262,0.3624
-14.9242,1,1.07526,1,1,0,14.972,0.379465
-14.9331,0.997657,1.07526,1,1,0,14.942,0.376416
-14.9805,0.987645,1.07526,1,1,0,14.986,0.36356
-15.3504,0.881578,1.07526,1,3,0,15.6982,0.511871
-15.6208,0.927122,1.07526,1,1,0,15.7038,0.538283
-18.822,0.63876,1.07526,2,3,0,18.823,0.158486
-17.2096,1,1.07526,1,1,0,18.6902,0.206295
-16.9327,1,1.07526,1,1,0,17.5333,0.216923
-14.9091,0.990364,1.07526,2,3,0,16.9233,0.385561
-14.8844,1,1.07526,1,3,0,14.9043,0.40482
-15.3461,0.885062,1.07526,1,3,0,15.4455,0.511395
-15.1946,0.923395,1.07526,1,3,0,16.0166,0.328692
-15.0327,1,1.07526,1,1,0,15.1667,0.35285
-15.2563,0.945233,1.07526,1,1,0,15.264,0.321371
-15.7047,0.898832,1.07526,1,1,0,15.7278,0.281615
-14.9454,1,1.07526,2,3,0,15.5529,0.446227
-14.9454,0.684358,1.07526,2,3,0,16.9123,0.446227
-14.9453,1,1.07526,1,1,0,14.9623,0.446207
-15.0631,0.878052,1.07526,2,3,0,15.6965,0.347507
-14.9702,1,1.07526,1,1,0,15.0473,0.366008
-14.9643,1,1.07526,1,1,0,14.9887,0.367496
-14.9105,0.958222,1.07526,2,3,0,15.2484,0.433537
-14.8868,0.998278,1.07526,1,3,0,14.9199,0.400705
-15.9562,0.816114,1.07526,2,3,0,16.3275,0.564751
-15.5793,1,1.07526,1,1,0,15.9784,0.534602
-14.9058,1,1.07526,1,3,0,15.4357,0.431284
-16.8362,0.637533,1.07526,2,3,0,17.887,0.617715
-17.3257,0.879681,1.07526,1,1,0,17.7583,0.64125
-14.9432,1,1.07526,2,3,0,17.1987,0.373278
-15.0598,0.970165,1.07526,1,1,0,15.0617,0.348071
-14.8841,0.99656,1.07526,2,3,0,15.0792,0.405623
-14.887,0.999047,1.07526,1,3,0,14.8893,0.417759
-16.6698,0.630202,1.07526,1,3,0,16.9305,0.608931
-15.0117,0.944473,1.07526,1,3,0,17.0609,0.356887
-17.2044,0.52154,1.07526,1,3,0,18.1985,0.6357
-15.365,1,1.07526,2,3,0,16.6965,0.513473
-14.9088,0.984681,1.07526,1,3,0,15.4428,0.38569
-14.8836,0.909819,1.07526,2,3,0,15.4581,0.40792
-14.9256,0.989074,1.07526,1,3,0,14.9348,0.43968
-14.9161,0.888281,1.07526,2,3,0,15.585,0.382569
-15.0295,0.979245,1.07526,1,3,0,15.0295,0.353442
-15.5926,0.82623,1.07526,1,3,0,16.1178,0.535796
-15.2123,1,1.07526,2,3,0,15.5225,0.495266
-15.2123,0.696081,1.07526,1,3,0,16.4891,0.495266
-15.0618,1,1.07526,1,1,0,15.1956,0.47241
-15.22,0.956646,1.07526,1,1,0,15.2446,0.49627
-14.8969,1,1.07526,1,3,0,15.1489,0.426278
-15.7687,0.803499,1.07526,2,3,0,16.3052,0.550606
-15.0709,1,1.07526,1,1,0,15.5735,0.474005
-14.8838,0.993939,1.07526,2,3,0,15.1069,0.411396
-15.2777,0.91788,1.07526,2,3,0,15.4572,0.503486
-14.984,1,1.07526,1,1,0,15.1969,0.45651
-15.0822,0.972952,1.07526,1,1,0,15.0949,0.475954
-15.3533,0.878913,1.07526,1,3,0,15.9149,0.311104
-15.6113,0.940892,1.07526,1,1,0,15.6766,0.288588
-14.9191,1,1.07526,1,3,0,15.4853,0.381354
-16.6672,0.6499,1.07526,1,3,0,16.9323,0.228112
-15.8865,1,1.07526,1,1,0,16.5866,0.26928
-17.0093,0.791397,1.07526,1,1,0,17.0538,0.213887
-17.7496,0.874707,1.07526,1,1,0,18.0243,0.187986
-18.9457,0.825128,1.07526,1,1,0,19.2297,0.155534
-16.8913,1,1.07526,1,1,0,18.6433,0.218598
-14.9454,1,1.07526,1,3,0,16.6526,0.37261
-14.9707,0.955009,1.07526,2,3,0,15.2614,0.453235
-14.8847,0.998527,1.07526,1,3,0,14.9728,0.404113
-14.9253,0.810547,1.07526,2,3,0,16.0751,0.379052
-14.9253,0.614182,1.07526,1,3,0,16.6899,0.379052
-15.0524,0.955458,1.07526,1,3,0,15.1911,0.470701
-14.9731,1,1.07526,1,1,0,15.0425,0.453851
-15.2712,0.920061,1.07526,1,1,0,15.2717,0.502706
-15.0102,1,1.07526,1,1,0,15.2039,0.462383
-15.4892,0.874455,1.07526,1,1,0,15.4893,0.526195
-15.4892,0.905418,1.07526,1,1,0,15.853,0.526195
-16.7796,0.700447,1.07526,1,1,0,16.8037,0.614776
-14.8857,1,1.07526,1,3,0,16.6477,0.402328
